상호(지점명),주소,면적(㎡),전화번호,데이터기준일자
롯데슈퍼 비래점,대전광역시 대덕구 비래동로 8 (비래동),903,042-627-5602,2020-05-31
홈플러스익스프레스 송촌점,대전광역시 대덕구 동춘당로94번길 11-15 (송촌동),652,042-634-8545,2020-05-31
GS슈퍼마켓 신탄진점,대전광역시 대덕구 석봉로44번길 76 (신탄진동),1893,042-936-2800,2020-05-31
이마트에브리데이 법동점,대전광역시 대덕구 동춘당로 178 (법동),1771,042-639-3001,2020-05-31
