시군구,청년인구,병원,사회스포츠,대학교,초중고,공항,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널,청년인프라지수,id,lat,lon
서울_양천구,84550.0,649,128.0,0,103.0,0,1,9,4716,27,17,0,20.0,1.0,9.0,0.0,6.878716307133447,11470.0,37.52478964,126.8554792
서울_강서구,136535.0,880,143.0,1,136.0,1,1,11,7638,34,92,1,30.0,0.0,17.0,0.0,7.037931852108399,11500.0,37.56123594,126.8228036
서울_구로구,84959.0,574,128.0,3,89.0,0,1,9,5565,49,100,6,18.0,1.0,16.0,0.0,6.099517262528102,11530.0,37.49440412,126.8563021
서울_금천구,56369.0,354,72.0,0,53.0,0,0,6,3845,26,65,3,12.0,0.0,5.0,0.0,5.923231105642653,11545.0,37.46056912,126.9008177
서울_영등포구,94917.0,794,60.0,0,81.0,0,1,11,7384,42,175,3,20.0,0.0,31.0,0.0,5.122546612476245,11560.0,37.52230985,126.9101694
서울_동작구,97181.0,601,105.0,3,78.0,0,1,8,4143,19,30,1,17.0,0.0,10.0,0.0,8.943069494768126,11590.0,37.49887636,126.9516402
서울_관악구,157264.0,706,140.0,1,91.0,0,1,10,6461,27,98,0,23.0,0.0,17.0,0.0,9.652583999941548,11620.0,37.46737656,126.9453355
서울_강동구,95519.0,844,42.0,0,97.0,0,1,10,6343,39,70,0,20.0,0.0,12.0,0.0,5.819452569131482,11740.0,37.55045136,127.1470146
부산_중구,8049.0,140,15.0,0,14.0,0,1,6,2058,21,125,0,11.0,0.0,21.0,0.0,1.6473981027444444,26110.0,35.10547796,129.0315402
부산_서구,18425.0,145,53.0,0,33.0,0,0,5,1663,9,68,0,15.0,0.0,8.0,0.0,4.536650996544032,26140.0,35.10296452,129.0149128
부산_동구,15455.0,170,55.0,0,27.0,0,1,6,1921,8,123,2,14.0,0.0,11.0,0.0,3.317713940239953,26170.0,35.1291866,129.0445861
부산_영도구,16436.0,142,46.0,2,41.0,0,1,5,1906,5,48,0,13.0,0.0,6.0,0.0,3.559405013334513,26200.0,35.07865091,129.0648202
부산_진구,75731.0,832,188.0,3,111.0,0,0,10,6963,55,178,3,22.0,0.0,15.0,0.0,4.2837040616521485,26230.0,35.16524533,129.0430601
부산_동래구,46382.0,488,21.0,0,80.0,0,0,7,4488,30,126,3,15.0,0.0,15.0,0.0,4.119570982570636,26260.0,35.20621201,129.0792188
부산_남구,47538.0,379,56.0,4,78.0,0,0,7,4163,21,55,2,19.0,0.0,38.0,0.0,4.612309775510718,26290.0,35.12613858,129.0940042
부산_북구,52833.0,373,51.0,1,91.0,0,0,6,3471,19,88,2,15.0,0.0,10.0,0.0,6.069192573123479,26320.0,35.22925311,129.0234651
부산_해운대구,68385.0,662,100.0,1,102.0,0,1,10,7325,57,325,5,20.0,1.0,40.0,0.0,3.817405670523602,26350.0,35.19385742,129.1535891
부산_사하구,54995.0,430,41.0,2,98.0,0,1,7,4644,31,66,0,18.0,0.0,10.0,0.0,4.777381915375312,26380.0,35.0893528,128.9743481
부산_금정구,44260.0,357,92.0,4,76.0,0,1,6,3960,7,65,0,18.0,0.0,17.0,1.0,4.5242096290574825,26410.0,35.25889463,129.09153
부산_강서구,23640.0,113,121.0,0,59.0,1,1,10,2951,7,52,0,10.0,2.0,6.0,0.0,3.431489313464544,26440.0,35.13837168,128.8924423
부산_연제구,37451.0,369,25.0,2,47.0,0,1,6,3591,21,54,3,15.0,3.0,7.0,0.0,4.165426180574832,26470.0,35.18241804,129.0829344
부산_수영구,35665.0,326,48.0,0,41.0,0,1,4,3796,6,111,0,10.0,0.0,24.0,0.0,3.8391335861009175,26500.0,35.16133249,129.1111625
부산_사상구,40407.0,239,77.0,3,70.0,0,1,6,3051,24,95,1,14.0,1.0,7.0,1.0,5.458482090977559,26530.0,35.15803505,128.9865939
부산_기장군,27182.0,184,171.0,0,69.0,0,1,6,3563,12,86,4,7.0,0.0,15.0,0.0,3.2287531753493006,,35.2445,129.2222
대구_중구,16533.0,460,37.0,0,31.0,0,1,5,4209,31,102,0,15.0,0.0,48.0,0.0,1.5629462687101336,27110.0,35.86653525,128.5936057
대구_동구,61421.0,479,45.0,0,112.0,1,1,9,6397,18,159,4,24.0,0.0,19.0,4.0,3.9630657130361993,27140.0,35.93444401,128.6856499
대구_서구,29105.0,262,66.0,0,53.0,0,1,6,3395,27,97,0,19.0,0.0,4.0,1.0,3.53407797693326,27170.0,35.87500168,128.5496976
대구_남구,28526.0,251,45.0,2,44.0,0,0,6,3078,1,37,0,14.0,0.0,24.0,1.0,3.7792270474864513,27200.0,35.83517828,128.5853297
대구_북구,86446.0,571,74.0,4,149.0,0,1,9,7442,44,70,1,23.0,0.0,22.0,1.0,4.758171621819705,27230.0,35.92892764,128.5772056
대구_수성구,72909.0,786,110.0,1,122.0,0,1,9,7919,26,72,2,25.0,3.0,26.0,0.0,3.682776203521596,27260.0,35.83384974,128.6612732
대구_달서구,107479.0,822,180.0,3,191.0,0,1,14,8913,35,101,0,24.0,3.0,15.0,0.0,4.862292892844,27290.0,35.82748641,128.529204
대구_달성군,46508.0,281,99.0,1,103.0,0,2,12,4055,3,55,0,11.0,1.0,10.0,0.0,4.740377953637895,27710.0,35.7596109,128.4982969
인천_중구,28965.0,126,105.0,0,55.0,1,2,7,4362,15,265,0,13.0,0.0,25.0,0.0,2.924886133946842,28110.0,37.46909379,126.4828638
인천_동구,9546.0,90,41.0,1,27.0,0,0,3,990,9,37,4,12.0,0.0,6.0,0.0,3.927495881809618,28140.0,37.48319411,126.6395434
인천_미추홀구,82568.0,481,153.0,2,95.0,0,1,10,5748,35,168,2,22.0,3.0,22.0,1.0,5.8834779382329865,28177.0,37.45259376,126.6646576
인천_연수구,77245.0,407,50.0,1,110.0,0,1,6,5676,19,93,0,16.0,0.0,18.0,1.0,5.619628632892176,28185.0,37.39619493,126.6494242
인천_남동구,101919.0,745,111.0,0,155.0,0,2,12,7520,32,63,5,22.0,0.0,12.0,0.0,5.418874406921932,28200.0,37.43135604,126.7264666
인천_부평구,100646.0,635,102.0,0,153.0,0,1,13,6709,27,117,3,23.0,0.0,12.0,1.0,6.044873699700839,28237.0,37.49666082,126.7212083
인천_계양구,61450.0,373,65.0,2,90.0,0,1,6,3803,13,60,5,14.0,0.0,5.0,0.0,6.484499697462635,28245.0,37.55729939,126.7347032
인천_서구,106515.0,524,137.0,0,166.0,0,1,7,7403,15,62,6,25.0,0.0,13.0,0.0,5.929900234177299,28260.0,37.55783907,126.6563686
인천_강화군,7579.0,87,120.0,1,56.0,0,1,14,1998,2,305,1,14.0,1.0,19.0,1.0,1.700369383021768,28710.0,37.71245904,126.4020466
인천_옹진군,3526.0,28,27.0,0,26.0,0,0,6,733,0,333,0,7.0,0.0,1.0,0.0,2.469517341704373,,37.2139,126.1783
광주_동구,21164.0,231,115.0,3,40.0,0,1,6,3261,25,128,0,14.0,2.0,42.0,0.0,2.7054579767737,29110.0,35.11738405,126.9494622
광주_서구,61222.0,553,113.0,0,108.0,0,1,8,6949,24,147,1,20.0,1.0,21.0,1.0,3.6137782029960257,29140.0,35.13569669,126.8507245
광주_남구,38492.0,331,204.0,4,101.0,0,1,7,3509,8,35,1,17.0,0.0,17.0,0.0,4.409616815931308,29155.0,35.09405737,126.8567385
광주_북구,87062.0,611,205.0,6,192.0,0,1,10,7582,16,152,1,29.0,2.0,29.0,0.0,4.702988468076252,29170.0,35.19324913,126.9254668
광주_광산구,82059.0,489,150.0,4,179.0,1,1,15,7557,11,90,5,22.0,0.0,17.0,0.0,4.508826799697244,29200.0,35.16504314,126.752903
대전_동구,41858.0,343,105.0,4,81.0,0,1,6,4039,44,135,2,17.0,0.0,16.0,1.0,4.244812476285356,30110.0,36.32396534,127.4750627
대전_중구,42500.0,374,74.0,1,96.0,0,0,6,4330,24,185,1,18.0,0.0,28.0,1.0,4.0279327237794185,30140.0,36.28087229,127.4110567
대전_서구,104642.0,896,66.0,3,165.0,0,2,11,9410,42,79,2,25.0,4.0,29.0,2.0,4.465986055162002,30170.0,36.28026323,127.3451254
대전_유성구,78707.0,466,95.0,5,152.0,0,1,6,7758,13,110,0,12.0,2.0,32.0,2.0,4.2403044289508935,30200.0,36.37682167,127.333298
대전_대덕구,33792.0,225,68.0,2,68.0,0,1,6,3603,15,83,3,13.0,0.0,10.0,0.0,3.920778241707856,30230.0,36.41219042,127.4401591
울산_중구,37525.0,238,67.0,0,78.0,0,1,7,3757,9,79,0,14.0,0.0,13.0,0.0,4.167845677501132,31110.0,35.5710483,129.3082427
울산_남구,64670.0,618,24.0,1,106.0,0,1,6,7460,16,244,4,16.0,2.0,18.0,3.0,3.559237469011779,31140.0,35.51605166,129.3281901
울산_동구,26280.0,174,18.0,1,60.0,0,1,5,3107,3,71,0,10.0,0.0,4.0,0.0,3.5609178986022694,31170.0,35.52558,129.4260695
울산_북구,41455.0,172,30.0,0,94.0,1,1,5,3492,11,52,2,9.0,0.0,9.0,0.0,5.020432735323604,31200.0,35.6100624,129.3798015
울산_울주군,37605.0,206,57.0,2,107.0,0,1,11,4586,5,195,5,13.0,1.0,18.0,1.0,3.5206033380505435,31710.0,35.54669692,129.1868265
세종시,64602.0,402,47.0,3,155.0,0,2,11,5922,10,61,8,21.0,1.0,26.0,3.0,4.512020201525983,36110.0,36.56072897,127.258722
