관명,우편번호,주소
경상남도지방경찰청 창원중부경찰서,51444,경상남도 창원시 의창구 상남로 177 (신월동)
경상남도지방경찰청 통영경찰서,53013,경상남도 통영시 광도면 죽림3로 53
경상남도지방경찰청 하동경찰서,52331,경상남도 하동군 하동읍 경서대로 139
경상남도지방경찰청 함안경찰서,52040,경상남도 함안군 가야읍 가야로 85
경상남도지방경찰청 함양경찰서,50041,경상남도 함양군 함양읍 학사루길 12
경상남도지방경찰청 합천경찰서,50238,경상남도 합천군 합천읍 황강체육공원로 67
경상북도지방경찰청 경산경찰서,38637,경상북도 경산시 원효로 68 (계양동)
경상북도지방경찰청 경주경찰서,38145,경상북도 경주시 중앙로 63 (동부동)
경상북도지방경찰청 고령경찰서,40135,경상북도 고령군 대가야읍 대가야로 1411
경상북도지방경찰청 구미경찰서,39281,경상북도 구미시 송원동로 11-4 (송정동)
경상북도지방경찰청 군위경찰서,39019,경상북도 군위군 군위읍 중앙길 74
경상북도지방경찰청 김천경찰서,39613,경상북도 김천시 김천로 164 (남산동)
경상북도지방경찰청 문경경찰서,36978,경상북도 문경시 매봉로 35 (모전동)
경상북도지방경찰청 봉화경찰서,36238,경상북도 봉화군 봉화읍 내성로 73
경상북도지방경찰청 상주경찰서,37194,경상북도 상주시 중앙로 230 (성하동)
경상북도지방경찰청 성주경찰서,40031,경상북도 성주군 성주읍 성주순환로 251
경상북도지방경찰청 안동경찰서,36674,경상북도 안동시 제비원로 103 (당북동)
경상북도지방경찰청 영덕경찰서,36441,경상북도 영덕군 영덕읍 남산1길 14
경상북도지방경찰청 영양경찰서,36542,경상북도 영양군 영양읍 영양창수로 135
경상북도지방경찰청 영주경찰서,36073,경상북도 영주시 광복로 47 (영주동)
경상북도지방경찰청 영천경찰서,38874,경상북도 영천시 금호읍 최무선로 1
경상북도지방경찰청 예천경찰서,36823,경상북도 예천군 예천읍 군청길 21
경상북도지방경찰청 울릉경찰서,40222,경상북도 울릉군 울릉읍 도동2길 62
경상북도지방경찰청 울진경찰서,36326,경상북도 울진군 울진읍 울진중앙로 28
경상북도지방경찰청 의성경찰서,37338,경상북도 의성군 의성읍 동서1길 31
경상북도지방경찰청 청도경찰서,38335,경상북도 청도군 청도읍 새마을로 1362
경상북도지방경찰청 청송경찰서,37427,경상북도 청송군 청송읍 월막1길 5-15
경상북도지방경찰청 칠곡경찰서,39828,경상북도 칠곡군 약목면 칠곡대로 1050
경상북도지방경찰청 포항남부경찰서,37833,경상북도 포항시 남구 연일로 55 (상도동)
경상북도지방경찰청 포항북부경찰서,37705,경상북도 포항시 북구 중앙로 331 (덕산동)
광주광역시지방경찰청 광주광산경찰서,62382,광주광역시 광산구 어등대로 551 (운수동)
광주광역시지방경찰청 광주남부경찰서,61682,광주광역시 남구 용대로74번안길 9-5 (봉선동)
광주광역시지방경찰청 광주동부경찰서,61474,광주광역시 동구 예술길 33 (대의동)
광주광역시지방경찰청 광주북부경찰서,61119,광주광역시 북구 서하로 172 (오치동)
광주광역시지방경찰청 광주서부경찰서,61956,광주광역시 서구 상무공원로 71 (치평동)
대구광역시지방경찰청 대구강북경찰서,41424,대구광역시 북구 동암로 130 (구암동)
대구광역시지방경찰청 대구남부경찰서,42421,대구광역시 남구 대명로 249 (대명동)
대구광역시지방경찰청 대구달서경찰서,42731,대구광역시 달서구 학산로 55 (월성동)
대구광역시지방경찰청 대구달성경찰서,43005,대구광역시 달성군 현풍면 현풍중앙로 16
대구광역시지방경찰청 대구동부경찰서,41074,대구광역시 동구 반야월북로 209 (각산동)
대구광역시지방경찰청 대구북부경찰서,41590,대구광역시 북구 원대로 100 (침산동)
대구광역시지방경찰청 대구서부경찰서,41777,대구광역시 서구 국채보상로 249 (평리동)
대구광역시지방경찰청 대구성서경찰서,42620,대구광역시 달서구 달구벌대로259길 15 (이곡동)
대구광역시지방경찰청 대구수성경찰서,42086,대구광역시 수성구 달구벌대로 2460 (범어동)
대구광역시지방경찰청 대구중부경찰서,41919,대구광역시 중구 경상감영길 55 (서문로1가)
대전광역시지방경찰청 대전대덕경찰서,34301,대전광역시 대덕구 대덕대로1417번길 11 (문평동)
대전광역시지방경찰청 대전동부경찰서,34397,대전광역시 대덕구 계족로 670 (법동)
대전광역시지방경찰청 대전둔산경찰서,35209,대전광역시 서구 한밭대로 733 (둔산동)
대전광역시지방경찰청 대전서부경찰서,35403,대전광역시 서구 복수서로 47 (복수동)
대전광역시지방경찰청 대전유성경찰서,34097,대전광역시 유성구 북유성대로 112 (죽동)
대전광역시지방경찰청 대전중부경찰서,34911,대전광역시 중구 중앙로 112 (대흥동)
부산광역시지방경찰청 부산강서경찰서,46726,부산광역시 강서구 명지국제1로 305 (명지동)
부산광역시지방경찰청 부산금정경찰서,46273,부산광역시 금정구 중앙대로 1819 (구서동)
부산광역시지방경찰청 부산기장경찰서,46044,부산광역시 기장군 일광면 기장대로 692
부산광역시지방경찰청 부산남부경찰서,48427,부산광역시 남구 황령대로319번가길 81 (대연동)
부산광역시지방경찰청 부산동래경찰서,47877,부산광역시 동래구 명륜로 70 (수안동)
부산광역시지방경찰청 부산동부경찰서,48775,부산광역시 동구 중앙대로 387 (수정동)
부산광역시지방경찰청 부산북부경찰서,46527,부산광역시 북구 화명신도시로 63 (화명동)
부산광역시지방경찰청 부산사상경찰서,46985,부산광역시 사상구 학감대로 264 (감전동)
