,전출도시명,전입도시명,이동인구(명)
0,세종특별자치시,대전_유성구,3309
1,세종특별자치시,청주_흥덕구,2431
2,세종특별자치시,대전_서구,2408
3,세종특별자치시,공주시,1412
4,세종특별자치시,대전_대덕구,895
