,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,울산_남구,16,2,18,3
1,울산_중구,14,0,13,0
2,울산_울주군,13,1,18,1
3,울산_동구,10,0,4,0
4,울산_북구,9,0,9,0
