,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,대구_중구,15,0,48,0
1,대구_동구,24,0,19,4
2,대구_서구,19,0,4,1
3,대구_남구,14,0,24,1
4,대구_북구,23,0,22,1
5,대구_수성구,25,3,26,0
6,대구_달서구,24,3,15,0
7,대구_달성군,11,1,10,0
