,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,광주_북구,29,2,29,0
1,광주_광산구,22,0,17,0
2,광주_서구,20,1,21,1
3,광주_남구,17,0,17,0
4,광주_동구,14,2,42,0
