,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,부산_중구,11,0,21,0
1,부산_서구,15,0,8,0
2,부산_동구,14,0,11,0
3,부산_영동구,13,0,6,0
4,부산_진구,22,0,15,0
5,부산_동래구,15,0,15,0
6,부산_남구,19,0,38,0
7,부산_북구,15,0,10,0
8,부산_해운대구,20,1,40,0
9,부산_사하구,18,0,10,0
10,부산_금정구,18,0,17,1
11,부산_강서구,10,2,6,0
12,부산_연제구,15,3,7,0
13,부산_수영구,10,0,24,0
14,부산_사상구,14,1,7,1
15,부산_기장군,7,0,15,0
