,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,인천_중구,13,0,25,0
1,인천_동구,12,0,6,0
2,인천_미추홀구,22,3,22,1
3,인천_연수구,16,0,18,1
4,인천_남동구,22,0,12,0
5,인천_부평구,23,0,12,1
6,인천_계양구,14,0,5,0
7,인천_서구,25,0,13,0
8,인천_강화군,14,1,19,1
9,인천_옹진군,7,0,1,0
