,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,대전_유성구,12,2,32,2
1,대전_서구,25,4,29,2
2,대전_중구,18,0,28,1
3,대전_동구,17,0,16,1
4,대전_대덕구,13,0,10,0
