,Unnamed: 0,시군구,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역
0,0,대전_대덕구,1,6,3603,15,83,3
1,1,대전_동구,1,6,4039,44,135,2
2,2,대전_서구,2,11,9410,42,79,2
3,3,대전_유성구,1,6,7758,13,110,0
4,4,대전_중구,0,6,4330,24,185,1
