,Unnamed: 0,시군구,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역
0,0,대구_남구,0,6,3078,1,37,0
1,1,대구_달서구,1,14,8913,35,101,0
2,2,대구_달성군,2,12,4055,3,55,0
3,3,대구_동구,1,9,6397,18,159,4
4,4,대구_북구,1,9,7442,44,70,1
5,5,대구_서구,1,6,3395,27,97,0
6,6,대구_수성구,1,9,7919,26,72,2
7,7,대구_중구,1,5,4209,31,102,0
