,Unnamed: 0,시군구,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역
0,0,광주_광산구,1,15,7557,11,90,5
1,1,광주_남구,1,7,3509,8,35,1
2,2,광주_동구,1,6,3261,25,128,0
3,3,광주_북구,1,10,7582,16,152,1
4,4,광주_서구,1,8,6949,24,147,1
