,Unnamed: 0,시군구,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역
0,0,인천_강화군,1,14,1998,2,305,1
1,1,인천_계양구,1,6,3803,13,60,5
2,2,인천_남구,1,10,0,31,0,1
3,3,인천_남동구,2,12,7520,32,63,5
4,4,인천_동구,0,3,990,9,37,4
5,5,인천_미추홀구,0,0,5748,4,168,1
6,6,인천_부평구,1,13,6709,27,117,3
7,7,인천_서구,1,7,7403,15,62,6
8,8,인천_연수구,1,6,5676,19,93,0
9,9,인천_옹진군,0,6,733,0,333,0
10,10,인천_중구,2,7,4362,15,265,0
