구분,지정번호,명     칭,수  량,"구,군",소 재 지,지정일자(인정일자)
문화재자료,42,유가만세교,1기,달성군,달성군 유가면 양리 575-2,2006-04-20
문화재자료,43,소재사 대웅전,1동,달성군,달성군 유가면 휴양림길 228,2006-04-20
문화재자료,44,소재사 목조지장보살좌상,1구,달성군,달성군 유가면 휴양림길 228,2006-04-20
문화재자료,45,동계정,1곽,동구,동구 옻골로 204 (둔산동),2008-04-10
문화재자료,46,신숭겸영각유허비,1기,동구,동구 평광동 산36,2008-04-10
문화재자료,47,대구 동화사 금당 아미타극락회상도,1폭,동구,동구 동화사1길 1(도학동),2012-01-30
문화재자료,48,대구 동화사 대웅전 신중도,1폭,동구,동구 동화사1길 1(도학동),2012-01-30
문화재자료,49,대구 동화사 감로도,1폭,동구,동구 동화사1길 1(도학동),2012-01-30
문화재자료,50,대구 동화사 사천왕도,4폭,동구,동구 동화사1길 1(도학동),2012-01-30
문화재자료,51,대구 북지장사 아미타삼존불좌상,3구,동구,동구 도장길 243(도학동),2012-01-30
문화재자료,52,대구 파계사 아미타삼존도,1폭,동구,동구 파계로741(중대동),2015-05-11
문화재자료,53,대구 파계사 신중도 및 복장유물 일괄,"신중도1폭,복장품5건5매",동구,동구 파계로741(중대동),2015-05-11
문화재자료,54,대구 파계사 소장 책판 일괄,5종86판,동구,동구 파계로741(중대동),2015-05-11
문화재자료,55,대구 북지장사 금고,1점,동구,동구 도장길 243(도학동),2015-05-11
문화재자료,56,현풍 추보당,1동(56.88㎡),달성군,달성군 현풍면 삼강1길 22(대리),2015-05-11
문화재자료,57,현풍 한훤당 종택 내 사당,1동(22.28㎡),달성군,달성군 현풍면 지동1길 43(지리 1143),2018-02-12
