구분,지정번호,명     칭,수  량,"구,군",소 재 지,지정일자(인정일자)
유형문화재,90,감지금니대방광불화엄경주본권22,1첩(10장),남구,남구 효성로,2020-02-10
유형문화재,91,불설장수멸죄호제동자다라니경,1책(35장),달성군,달성군 옥포읍 옥계길 16,2020-02-10
유형문화재,92,대구 광덕사 신중도,1폭,달성군,달성군 가창면 헐티로 1190,2020-02-10
유형문화재,93,지장보살본원경,3권1책,달성군,달성군 유가읍 휴양림길 404,2021-02-01
유형문화재,94,대구 동화사 내원암 목조보살좌상,1구,동구,동구 동화사1길 1(도학동),2021-02-01
유형문화재,95,대구 동화사 내원암 칠성도,8폭,동구,동구 동화사1길 1(도학동),2021-02-01
무형문화재,1,고산농악,故정창화,수성구,수성구,1984-07-25
무형문화재,2,날뫼북춤,윤종곤,서구,서구,1984-07-25
무형문화재,3,욱수농악,손석철,수성구,수성구,1988-05-30
무형문화재,4,천왕메기,김수기,서구,서구,1989-06-15
무형문화재,5,가곡,故권측이,동구,동구,1989-06-15
무형문화재,6,영제시조,박선애,달서구,달서구,1990-05-15
무형문화재,7,공산농요,송문창,동구,동구,1990-05-15
무형문화재,8,판소리,故이명희,남구,남구,1992-09-08
무형문화재,8,판소리,주운숙,남구,남구,2017-01-31
무형문화재,9,살풀이춤,권명화,동구,동구,1995-05-12
무형문화재,11,하향주,박환희,달성군,달성군,1996-05-27
무형문화재,12,대고장,김종문,북구,북구,1996-05-27
무형문화재,14,단청장,전연호,남구,남구,1999-01-09
무형문화재,15,모필장,이인훈,달서구,달서구,2004-06-10
무형문화재,16,달성하빈들소리,손봉회,달성군,달성군,2008-04-10
무형문화재,17,창호장,이종한,동구,동구,2012-01-30
무형문화재,18,수건춤,백년욱,중구,중구,2015-05-11
무형문화재,19,동부민요,박수관,서구,서구,2016-03-10
기념물,1,신숭겸장군유적,"지정구역 7,805㎡/보호구역 37,827㎡",동구,동구 신숭겸길17(지묘동),1982-03-04
기념물,2,건들바위(대구입암),962㎡,중구,중구 대봉2동 735-28,1982-06-29
기념물,3,부인사지,"60,600㎡",동구,동구 팔공산로967-28(신무동) 일대,1988-05-30
기념물,4,봉무토성,"46,810㎡",동구,"동구 봉무동 산26,27",1988-05-30
기념물,5,용암산성,"59,207㎡",동구,"동구 도동 산35,36",1988-05-30
기념물,6,팔거산성,"64,363㎡",북구,북구 노곡동 산1,1988-05-30
