업종,업체명,소재지,전화번호
유원시설업,점프점프플레이방,"대구광역시 서구 평리로 377, 2층(평리동)",053-563-8252
유원시설업,플레이봉봉,"대구광역시 서구 국채보상로 316, 201동 201호(평리동, 평리롯데캐슬상가)",053-525-8880
유원시설업,몽키팡팡,"대구광역시 서구 달서천로57길 32, 3층(비산동)",053-351-2589
관광식당업,알리바바,대구광역시 서구 서대구로 303-10,053-355-7851
관광식당업,동인,대구광역시 서구 국채보상로 295,053-354-7997
