구분,지정번호,명 칭,수량,소 재 지,소 유 자(관리주체),지정일자
기념물,40,미루지 돈대,"1곽(1,369㎡)",인천광역시 강화군 화도면 여차리 170-2번지,기획재정부,1999-03-29
기념물,41,북일곶 돈대,1곽(986㎡),인천광역시 강화군 화도면 장화리 산361번지,산림청,1999-03-29
기념물,42,용진진,"1곽(5,503.2㎡)",인천광역시 강화군 선원면 연리 215번지,산림청 외 5인,1999-03-29
기념물,43,영신군 이이묘,"1기(3,556.7㎡)",인천광역시 계양구 게양대로 139번길 23-36,전주이씨 효령대군파 영신군종회,1999-03-29
기념물,44,부근리고인돌군,"16기(216,036㎡)",인천광역시 강화군 하점면 부근리 317번지,강화군 외 50인,1999-04-26
기념물,45,삼거리고인돌군,"9기(177,577㎡)",인천광역시 강화군 하점면 삼거리 산118번지,,1999-04-26
기념물,46,고천리고인돌군,"18기(414,212.1㎡)",인천광역시 강화군 내가면 고천리 산96번지,,1999-04-26
기념물,47,오상리고인돌군,"12기(39,185㎡)",인천광역시 강화군 내가면 오상리 산124번지,강화군외 12인,1999-04-26
기념물,48,교산리고인돌군,"11기(287,625㎡)",인천광역시 강화군 양사면 교산리 산108번지,강화군외 35인,1999-04-26
기념물,49,강화 통제영학당지,"6,381㎡",인천광역시 강화군 강화읍 갑곶리 1061번지,,2001-04-02
기념물,50,이여발 묘,"1,774㎡",인천광역시 남동구 운연동 343-1번지,한산이씨 정익공파종중,2002-02-04
기념물,51,청ㆍ일조계지 경계계단,965.6㎡,인천광역시 중구 관동1가 24번지,국토교통부,2002-12-23
기념물,52,이찰ㆍ이율형제 정려,1동(30㎡),인천광역시 계양구 갈현동 산73-6번지,전주이씨 임영대군파 덕풍도정 종친회,2004-04-06
기념물,53,이선봉 묘역,3기(896㎡),인천광역시 계양구 동양동 152-5번지,한국토지주택공사,2004-04-06
기념물,54,한백륜 묘역,"1기(2,137.2㎡)",인천광역시 서구 마전동 산120-4번지,청주한씨 양혜공파 종중,2004-04-06
기념물,55,삼목도 선사주거지,"72,444.6㎡",인천광역시 중구 운서동 1830-1번지,인천국제공항공사,2006-09-11
기념물,56,정제두 묘,694㎡,인천광역시 강화군 양도면 하일리 산65번지,,2007-02-26
기념물,57,김안정 묘 출토 묘비,1기(30㎡),인천광역시 서구 원당동 53번지,풍산김씨 김포파 종중,2008-12-01
기념물,58,허암 정희량 유허지,"3,500㎡(영향검토구역 18,591㎡)",인천광역시 서구 검암동 산61-5번지,해주정씨 종중,2009-03-02
기념물,59,반남박씨 대종중 묘역,"1,903㎡(영향검토구역 14,825㎡)",인천광역시 서구 대곡동 산151-1번지,반남박씨 대종중,2010-04-27
기념물,60,의령남씨 종중 묘역,"1,058㎡(영향검토구역 19,838㎡)",인천광역시 서구 원당동 산82-1번지,,2010-04-27
기념물,61,평산신씨 종중 묘역,"2,076㎡(영향검토구역 15,790㎡)",인천광역시 서구 대곡로368번안길 11,평산신씨 정연공파 이간공 종중,2010-04-27
기념물,62,월성박씨 종중 묘역,"7,428㎡(영향검토구역 78,247㎡)",인천광역시 남동구 서창동 산29-41번지,대한주택공사(월성박씨 종중),2010-05-03
기념물,63,이승훈 묘,"8,430㎡",인천광역시 남동구 장수동 산132-1번지,학교법인 인천가톨릭학원(남동구),2011-12-28
기념물,64,강화 망산봉수,"3,074㎡",인천광역시 강화군 내가면 외포리 산131번지,강화군,2011-12-28
기념물,65,황형 묘,"2,629㎡",인천광역시 강화군 강화읍 월곶리 산72-1번지,창원황씨 장무공파 종중,2013-07-29
기념물,66,강화 정족산성진지,"5,821㎡",인천광역시 강화군 전등사로 37-41,전등사,2014-04-16
기념물,67,강화 정족산사고지,94.22㎡(2동),인천광역시 강화군 전등사로 37-41,전등사,2014-04-16
기념물,68,영일정씨 판결사공파 승지공파 동춘묘역,"분묘17기,석물66점(20,737㎡)",인천광역시 연수구 동춘동52-11번지 등 1필지,영일정씨 판결사공 승지공파 중종,2020-03-02
민속문화재,1,보문사 맷돌,2기(2.7㎡),인천광역시 강화군 삼산남로828번길 44,보문사,1995-03-02
민속문화재,2,용동 큰우물,1기(24.7㎡),인천광역시 중구 인현동 90-13번지,국토교통부,1995-03-02
문화재자료,1,욕은지,205.9㎡,인천광역시 계양구 어사대로 20,인천시 교육청,1982-03-02
문화재자료,3,어사대,1기(1.3㎡),인천광역시 계양구 어사대로 20,인천시 교육청,1990-11-09
문화재자료,4,각국조계석,1기,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1990-11-09
문화재자료,5,원인재,"2,645.7㎡",인천광역시 연수구 경원대로 322,인천이씨대종회,1990-11-09
문화재자료,6,이세주묘 출토 관 덮개,2개,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1994-11-04
문화재자료,7,전등사 대조루,1동(159.7㎡),인천광역시 강화군 전등사로 37-41,전등사,1995-03-02
문화재자료,8,철종외가,"2동(1,952.5㎡)",인천광역시 강화군 철종외가길 46-1,파주염씨대종회 외 1인,1995-03-02
문화재자료,9,원층사지,"일원(7,339㎡)",인천광역시 강화군 하점면 이강리 산177번지,,1995-03-02
문화재자료,10,선수돈대,"1기(3,187㎡)",인천광역시 강화군 화도면 내리 1831번지 외 1필지,문화재청 외 1인,1995-03-02
문화재자료,11,망월돈대,"일원(1,583.1㎡)",인천광역시 강화군 하점면 망월리 2107번지,기획재정부 외 1인,1995-03-02
문화재자료,13,참성단 중수비,1기(714.9㎡),인천광역시 강화군 화도면 흥왕리 산42-1번지,,1995-03-02
문화재자료,14,강화 서도 중앙교회,"1동(1,077㎡)",인천광역시 강화군 서도면 주문도리 718번지,(재)기독교대한감리회유지재단,1997-07-14
문화재자료,16,남북동 조병수가옥,"2동(1,603㎡)",인천광역시 중구 용유로380번길 21,,1997-07-14
문화재자료,17,화도 돈대,"1곽(1,263㎡)",인천광역시 강화군 선원면 연리 54번지,강화군,1999-03-29
문화재자료,18,무태 돈대,"1곽(1,191.1㎡)",인천광역시 강화군 하점면 창후리 산151-4번지강화군 외 1인,강화군외 1인,1999-03-29
문화재자료,19,장도포대지,"2,275㎡",인천광역시 남동구 아암대로 1614,남동구,2001-04-02
문화재자료,20,인천 해관문서,8면1책,인천광역시 동구 화도진로 122,인천광역시(화도진도서관),2002-02-04
문화재자료,21,전등사 대웅보전 후불탱,1폭,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
문화재자료,22,전등사 강설당 아미타불탱,1폭,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
문화재자료,23,송현배수지 제수변실,1동(19.1㎡),인천광역시 동구 송현공원로 75-21,인천광역시(상수도사업본부),2003-11-10
문화재자료,24,능인교당 현왕탱화,1폭(83.5×105㎝),인천광역시 중구 우현로62번길 19,능인사,2009-03-02
문화재자료,25,김취려 묘,"1기(11,107㎡)",인천광역시 강화군 양도면 하일리 산71,언양김씨대종회,2010-12-06
문화재자료,26,용수사 철조여래좌상,1구(28*12.5㎝),인천광역시 서구 신석로51번안길 14-2,용수사,2014-04-16
문화재자료,27,흥륜사 아미타불도,1폭(129*206㎝),인천광역시 연수구 청량로70번길 40-17,흥륜사,2014-04-16
문화재자료,28,흥륜사 신중도,1폭(129*156.7㎝),인천광역시 연수구 청량로70번길 40-17,흥륜사,2014-04-16
문화재자료,29,양주성 금속비,1기(55.2㎡),인천광역시 중구 운중로13-35,중구,2019-07-29
